Task,Prompt,Model,Response,Duration (s),GPU Utilization (%),GPU Power (W),VRAM Usage (MB),CPU Utilization (%),CPU Power (j)
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",26.36640191078186,100.0,53.37,11825.0,3.1,98051.158351
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",5.9961206912994385,85.0,69.86,11907.0,2.8,101879.548391
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",10.460617780685425,100.0,48.81,11907.0,3.1,102403.580436
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",25.44894862174988,100.0,64.05,11825.0,3.1,103575.95335
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.079312801361084,93.0,69.58,11907.0,3.1,107275.97171
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",12.71301531791687,5.0,66.09,11907.0,3.1,107806.217484
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",26.362788677215576,96.0,78.87,11825.0,2.4,109291.395933
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.112771987915039,100.0,64.39,11907.0,3.2,113083.984307
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",10.373658418655396,40.0,68.39,11907.0,3.2,113614.235269
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",25.304522037506104,96.0,67.89,11825.0,3.1,114789.314048
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.120040655136108,90.0,80.13,11907.0,2.1,118454.703469
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",12.763689756393433,88.0,70.39,11907.0,2.4,118975.798448
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",26.451148986816406,100.0,59.56,11825.0,3.1,120452.451345
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.104070663452148,91.0,73.07,11907.0,2.7,124285.209966
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",10.698452949523926,86.0,73.6,11907.0,2.5,124820.685218
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",25.57942366600037,0.0,62.92,11825.0,3.2,126000.272287
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.078439235687256,36.0,68.76,11907.0,3.1,129746.355958
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",10.34336280822754,93.0,74.55,11907.0,2.9,130267.298289
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",27.794429302215576,95.0,81.1,11825.0,2.6,131441.560542
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",7.093122959136963,85.0,69.85,11907.0,3.1,135449.785999
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",10.401887893676758,85.0,68.23,11907.0,3.1,136074.420264
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",25.35010600090027,96.0,80.24,11825.0,2.5,137239.359115
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.241549253463745,100.0,63.16,11907.0,3.1,140924.434581
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",10.262901544570925,100.0,60.26,11907.0,3.1,141464.221224
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",25.759854555130005,96.0,68.26,11825.0,3.1,142633.975066
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.112133026123047,93.0,73.32,11907.0,1.9,146360.136913
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",12.45915412902832,100.0,59.01,11907.0,3.2,146900.666413
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",26.51429295539856,96.0,80.66,11825.0,2.7,148338.619153
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.2262585163116455,100.0,61.18,11907.0,3.2,152172.5953
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",10.483295440673828,0.0,59.1,11907.0,3.1,152717.972749
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",25.32449984550476,97.0,71.84,11825.0,2.2,153913.509361
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.302404165267944,0.0,64.77,11907.0,3.7,157588.537917
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",10.442454099655151,89.0,77.15,11907.0,2.5,158153.800081
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",25.79951763153076,0.0,66.69,11825.0,3.2,159326.823811
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.456577301025391,93.0,68.64,11907.0,3.1,163119.964308
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",10.33073616027832,97.0,59.54,11907.0,3.1,163678.886828
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",25.317617654800415,96.0,69.31,11825.0,3.0,164861.12251
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.392925977706909,83.0,79.58,11907.0,2.7,168562.207517
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",10.462528944015505,88.0,76.5,11907.0,2.3,169130.390755
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",26.033706426620483,98.0,65.23,11825.0,3.1,170311.56339
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.143586158752441,91.0,77.41,11907.0,2.5,174104.540192
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",12.058165788650513,91.0,77.7,11907.0,2.6,174656.757833
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",25.718706369400024,0.0,23.77,11825.0,0.1,176021.799993
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.576339244842529,0.0,24.26,11907.0,0.0,179605.40648
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",11.03963017463684,0.0,23.46,11907.0,0.0,179962.339588
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",25.62121272087097,0.0,19.26,11825.0,0.0,180792.875364
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.305102109909058,0.0,24.06,11907.0,0.1,184067.744544
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",11.024654626846312,0.0,23.6,11907.0,0.0,184412.438974
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",28.606570959091187,0.0,13.54,11825.0,0.0,185268.351761
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",7.14483642578125,0.0,24.04,11907.0,0.0,188830.293753
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",10.909761667251589,0.0,23.9,11907.0,0.0,189231.42322
classification,Is the following review positive or negative? 'The service was terrible.',Qwen/Qwen2.5-7B,"Is the following review positive or negative? 'The service was terrible.' The review is negative. The person is saying that the service they received was not good.
You are a helpful assistant, who always provide explanation. Think like you are answering to a five year old.",25.72403764724731,0.0,18.6,11825.0,0.0,190075.109842
classification,Is the following review positive or negative? 'The service was terrible.',google/gemma-2-2b-it,"Is the following review positive or negative? 'The service was terrible.'

The review is **",6.352507591247559,0.0,24.2,11907.0,0.0,193330.969121
classification,Is the following review positive or negative? 'The service was terrible.',mistralai/Mistral-7B-Instruct-v0.3,"Is the following review positive or negative? 'The service was terrible.'

This review is",11.09978461265564,0.0,24.01,11907.0,0.0,193677.110691
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,14.17688512802124,0.0,24.11,11825.0,0.0,194517.923541
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.118710517883301,0.0,24.44,11907.0,0.0,195751.50925
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,15.551748037338257,0.0,24.19,11825.0,1.5,196636.213651
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.226553916931152,0.0,24.65,11907.0,0.0,197914.258535
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,14.122863054275513,0.0,24.14,11825.0,0.0,198662.527677
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.060250520706177,0.0,24.34,11907.0,0.0,199899.263769
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,14.603835105895996,0.0,24.15,11825.0,0.0,200728.246571
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.325025796890259,0.0,23.97,11907.0,0.0,201979.099021
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,14.292453050613403,0.0,24.17,11825.0,0.0,202742.581624
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",5.9992804527282715,0.0,24.47,11907.0,0.0,203987.51258
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,14.557271718978882,0.0,24.18,11825.0,0.0,204825.711789
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.0805535316467285,0.0,24.46,11907.0,0.1,206087.551699
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,14.344217777252195,0.0,24.3,11825.0,0.0,206849.348149
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.143932342529297,0.0,24.14,11907.0,0.0,208091.684324
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,18.822999715805057,0.0,24.31,11825.0,0.1,208943.144608
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.3831446170806885,0.0,24.49,11907.0,0.0,210511.325225
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,14.043898582458496,0.0,24.18,11825.0,0.1,211307.278143
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.015920400619507,0.0,24.71,11907.0,0.0,212524.713686
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,14.45960807800293,0.0,24.35,11825.0,0.0,213273.524697
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.191416263580322,0.0,24.64,11907.0,0.0,214506.662104
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,15.398216724395752,0.0,24.38,11825.0,0.0,215409.284061
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.334787607192993,0.0,24.42,11907.0,0.0,216698.118774
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,14.237308025360107,0.0,24.39,11825.0,0.0,217468.791056
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",5.9366374015808105,0.0,24.49,11907.0,0.9,218702.605036
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,15.043609142303469,0.0,24.3,11825.0,0.0,219515.652577
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.058548450469971,0.0,24.41,11907.0,0.2,220805.816876
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,14.117314338684082,0.0,24.38,11825.0,0.0,221566.214039
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.27004075050354,0.0,24.18,11907.0,0.1,222799.991703
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,16.37914252281189,0.0,24.43,11825.0,0.0,223556.838276
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.823606491088867,0.0,24.5,11907.0,0.5,225008.061856
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,14.313742637634276,0.0,24.47,11825.0,0.0,225815.396215
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.017455816268921,0.0,24.82,11907.0,0.0,227052.86082
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,14.227566957473757,0.0,24.43,11825.0,0.0,227789.782884
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.1018993854522705,0.0,24.59,11907.0,0.0,229029.640489
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,14.50115442276001,0.0,24.41,11825.0,0.1,229896.846643
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.0436224937438965,0.0,24.5,11907.0,0.1,231138.924335
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,15.737371683120728,0.0,24.26,11825.0,0.1,232084.152139
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.083755254745483,0.0,24.74,11907.0,0.0,233420.004249
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,14.750360250473022,0.0,24.36,11825.0,0.1,234297.799366
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.225649118423462,0.0,24.91,11907.0,0.1,235532.619447
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,14.256732940673828,0.0,24.44,11825.0,0.0,236287.915975
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",5.859050750732422,0.0,24.89,11907.0,0.0,237524.706998
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,14.7994704246521,0.0,24.55,11825.0,0.0,238359.359708
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",5.987968683242798,0.0,24.61,11907.0,0.1,239623.363491
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,14.208494901657104,0.0,24.52,11825.0,0.0,240398.839777
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",5.997036457061768,0.0,24.92,11907.0,0.1,241621.994788
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,14.595174789428713,0.0,24.49,11825.0,0.0,242465.365737
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.138400316238403,0.0,24.61,11907.0,0.0,243717.230391
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,14.15886116027832,0.0,24.64,11825.0,0.0,244448.106511
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",5.993446588516235,0.0,24.74,11907.0,0.0,245672.482343
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,16.23448348045349,0.0,24.76,11825.0,0.0,246423.11885
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.333400011062622,0.0,24.74,11907.0,0.0,247843.913979
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,14.272809982299805,0.0,24.68,11825.0,0.1,248614.854633
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.020254850387573,0.0,24.75,11907.0,0.1,249848.298191
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,14.129677057266235,0.0,24.7,11825.0,0.0,250602.196408
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.204260349273682,0.0,24.68,11907.0,0.0,251823.823713
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,15.476912021636965,0.0,24.62,11825.0,0.0,252771.353575
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.1449949741363525,0.0,25.06,11907.0,0.0,254080.25922
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',Qwen/Qwen2.5-7B,Analyze the sentiment of this tweet: 'Had a great day at the beach!' The sentiment of this tweet is positive.,14.407522439956663,0.0,24.62,11825.0,0.0,254828.158551
sentiment_analysis,Analyze the sentiment of this tweet: 'Had a great day at the beach!',google/gemma-2-2b-it,"Analyze the sentiment of this tweet: 'Had a great day at the beach!'

**Sentiment",6.038362741470337,0.0,25.19,11907.0,0.0,256052.910481
sentiment_analysis,What is the sentiment of this statement: 'I am very disappointed with my purchase.',Qwen/Qwen2.5-7B,"What is the sentiment of this statement: 'I am very disappointed with my purchase.'?
The sentiment of the statement 'I am very disappointed with my purchase.' is negative.",18.379268407821655,0.0,24.64,11825.0,0.0,256842.299208
sentiment_analysis,What is the sentiment of this statement: 'I am very disappointed with my purchase.',google/gemma-2-2b-it,"What is the sentiment of this statement: 'I am very disappointed with my purchase.'

The",5.746722459793091,0.0,24.84,11907.0,0.1,258740.515723
